,entryflow,exitflow,transferflow,weekday,daytype,timeid,hour,dayid
138,1460,289,720,6,0,66,22,1
139,1428,193,805,6,0,67,22,1
140,795,197,731,6,0,68,22,1
141,416,180,558,6,0,69,22,1
142,742,175,665,6,0,70,23,1
143,291,139,191,6,0,71,23,1
144,35,88,73,6,0,72,23,1
145,28,42,18,6,0,73,23,1
146,2,1,0,7,1,1,5,2
147,5,0,0,7,1,2,6,2
148,24,6,4,7,1,3,6,2
149,20,50,81,7,1,4,6,2
150,47,457,155,7,1,5,6,2
151,42,881,230,7,1,6,7,2
152,76,1038,328,7,1,7,7,2
153,122,1236,394,7,1,8,7,2
154,145,1353,540,7,1,9,7,2
155,652,1231,787,7,1,10,8,2
156,516,1413,851,7,1,11,8,2
157,537,1618,1115,7,1,12,8,2
158,305,1806,959,7,1,13,8,2
159,479,1890,806,7,1,14,9,2
160,893,1764,1006,7,1,15,9,2
161,599,1732,995,7,1,16,9,2
162,1533,1941,917,7,1,17,9,2
163,823,1955,880,7,1,18,10,2
164,2101,1851,785,7,1,19,10,2
165,1752,1906,925,7,1,20,10,2
166,1470,1798,900,7,1,21,10,2
167,1323,1789,815,7,1,22,11,2
168,1977,1771,818,7,1,23,11,2
169,2028,1749,807,7,1,24,11,2
170,2154,1794,803,7,1,25,11,2
171,2229,1818,774,7,1,26,12,2
172,1761,1683,735,7,1,27,12,2
173,1475,1533,763,7,1,28,12,2
174,1365,1762,876,7,1,29,12,2
175,877,1917,808,7,1,30,13,2
176,1684,2310,1011,7,1,31,13,2
177,2218,2343,874,7,1,32,13,2
178,2185,2058,970,7,1,33,13,2
179,1965,2238,996,7,1,34,14,2
180,1274,2263,1165,7,1,35,14,2
181,2722,2644,1194,7,1,36,14,2
182,1929,2774,1101,7,1,37,14,2
183,2731,2896,1233,7,1,38,15,2
184,3502,2916,938,7,1,39,15,2
185,2604,2683,1165,7,1,40,15,2
186,2847,2419,1082,7,1,41,15,2
187,3454,2298,1159,7,1,42,16,2
188,2773,2565,1222,7,1,43,16,2
189,2339,2897,1246,7,1,44,16,2
190,3216,2784,1133,7,1,45,16,2
191,3145,2433,1264,7,1,46,17,2
192,3254,2289,1187,7,1,47,17,2
193,2779,2563,1380,7,1,48,17,2
194,3220,2186,1513,7,1,49,17,2
195,2715,2329,1282,7,1,50,18,2
196,3298,2161,1438,7,1,51,18,2
197,3207,2084,1420,7,1,52,18,2
198,2689,1614,1425,7,1,53,18,2
199,2356,1612,1341,7,1,54,19,2
200,1969,1791,967,7,1,55,19,2
201,3772,1609,1037,7,1,56,19,2
202,3485,1413,1078,7,1,57,19,2
203,1848,1158,999,7,1,58,20,2
204,1825,1007,883,7,1,59,20,2
205,2372,1125,776,7,1,60,20,2
206,4164,784,908,7,1,61,20,2
207,3269,604,765,7,1,62,21,2
208,3391,520,643,7,1,63,21,2
209,3140,427,705,7,1,64,21,2
210,1656,403,687,7,1,65,21,2
211,3154,344,631,7,1,66,22,2
212,3245,274,551,7,1,67,22,2
213,1848,202,493,7,1,68,22,2
214,1589,127,417,7,1,69,22,2
215,1405,105,379,7,1,70,23,2
216,438,73,96,7,1,71,23,2
217,108,41,30,7,1,72,23,2
218,14,25,5,7,1,73,23,2
219,4,0,0,1,1,1,5,3
220,15,4,0,1,1,2,6,3
221,14,5,10,1,1,3,6,3
222,30,99,104,1,1,4,6,3
223,45,651,254,1,1,5,6,3
224,67,1362,289,1,1,6,7,3
225,151,2110,690,1,1,7,7,3
226,236,1941,1331,1,1,8,7,3
227,226,2034,1893,1,1,9,7,3
228,1263,2097,2522,1,1,10,8,3
229,888,2019,2718,1,1,11,8,3
230,1199,2003,3185,1,1,12,8,3
231,477,2244,2880,1,1,13,8,3
232,674,1937,1753,1,1,14,9,3
233,1125,2279,1743,1,1,15,9,3
234,649,1905,1506,1,1,16,9,3
235,2069,2131,920,1,1,17,9,3
236,513,2165,948,1,1,18,10,3
237,2212,1899,656,1,1,19,10,3
238,1738,1721,536,1,1,20,10,3
239,1434,1603,694,1,1,21,10,3
240,980,1557,559,1,1,22,11,3
241,1380,1403,567,1,1,23,11,3
242,2186,1721,574,1,1,24,11,3
243,1941,1571,411,1,1,25,11,3
244,2358,1515,582,1,1,26,12,3
245,1304,1301,478,1,1,27,12,3
246,931,1239,537,1,1,28,12,3
247,1008,1215,631,1,1,29,12,3
248,739,1415,551,1,1,30,13,3
249,1701,1648,631,1,1,31,13,3
250,1418,1462,679,1,1,32,13,3
251,1597,1483,615,1,1,33,13,3
252,1350,1625,644,1,1,34,14,3
253,1212,1513,696,1,1,35,14,3
254,1883,1541,585,1,1,36,14,3
255,940,1536,609,1,1,37,14,3
256,1850,1470,607,1,1,38,15,3
257,2179,1551,593,1,1,39,15,3
258,1323,1416,666,1,1,40,15,3
259,1119,1379,596,1,1,41,15,3
260,2274,1245,633,1,1,42,16,3
261,1277,1317,701,1,1,43,16,3
262,1076,1402,699,1,1,44,16,3
263,1975,1339,672,1,1,45,16,3
264,1747,1182,827,1,1,46,17,3
265,1752,1253,866,1,1,47,17,3
266,1530,1223,1035,1,1,48,17,3
267,2157,1034,1653,1,1,49,17,3
268,1834,1101,1583,1,1,50,18,3
269,1812,1031,2180,1,1,51,18,3
270,2055,1130,2491,1,1,52,18,3
271,2148,945,2601,1,1,53,18,3
272,1335,939,2004,1,1,54,19,3
273,1665,868,1736,1,1,55,19,3
274,1864,784,1113,1,1,56,19,3
275,1657,611,1097,1,1,57,19,3
276,681,477,853,1,1,58,20,3
277,465,388,773,1,1,59,20,3
278,1286,476,687,1,1,60,20,3
279,2335,314,761,1,1,61,20,3
280,1235,287,607,1,1,62,21,3
281,1049,259,637,1,1,63,21,3
282,746,240,628,1,1,64,21,3
283,667,202,577,1,1,65,21,3
284,968,162,600,1,1,66,22,3
285,969,167,474,1,1,67,22,3
286,609,114,416,1,1,68,22,3
287,341,90,435,1,1,69,22,3
288,497,91,260,1,1,70,23,3
289,210,76,98,1,1,71,23,3
290,33,31,42,1,1,72,23,3
291,14,18,8,1,1,73,23,3
292,12,0,0,2,0,1,5,4
293,3,3,0,2,0,2,6,4
294,17,6,7,2,0,3,6,4
295,20,68,100,2,0,4,6,4
296,51,490,189,2,0,5,6,4
297,43,890,247,2,0,6,7,4
298,97,1396,570,2,0,7,7,4
299,157,1548,1071,2,0,8,7,4
300,187,1507,1660,2,0,9,7,4
301,702,1597,2306,2,0,10,8,4
302,730,1752,2582,2,0,11,8,4
303,594,1674,3220,2,0,12,8,4
304,338,1774,2736,2,0,13,8,4
305,619,1657,1655,2,0,14,9,4
306,983,1915,1717,2,0,15,9,4
307,405,1640,1509,2,0,16,9,4
308,1462,1787,986,2,0,17,9,4
309,614,2020,968,2,0,18,10,4
310,1844,1763,732,2,0,19,10,4
311,1501,1578,644,2,0,20,10,4
312,1460,1279,723,2,0,21,10,4
313,834,1388,520,2,0,22,11,4
314,1161,1174,583,2,0,23,11,4
315,1449,1304,615,2,0,24,11,4
316,1439,1338,467,2,0,25,11,4
317,2099,1321,595,2,0,26,12,4
318,1218,1145,574,2,0,27,12,4
319,807,1124,583,2,0,28,12,4
320,1069,1072,694,2,0,29,12,4
